game_id	player_id	sector_id	tic	timestamp	x	y	z	angle	momx	momy	health	armor	ammo
1	1	16	0	2025-03-10 09:00:00.000000	1167.7155	643.6521	0.0292	0.276543	8.8044	2.6282	98	51	201
1	1	16	1	2025-03-10 09:00:00.028571	1172.6597	645.0379	0.2402	0.270712	4.9442	1.3858	97	51	198
1	1	16	2	2025-03-10 09:00:00.057143	1177.1168	647.3656	0.5273	0.368577	4.4571	2.3277	97	52	199
1	1	16	3	2025-03-10 09:00:00.085714	1181.4930	649.7189	0.1549	0.468067	4.3762	2.3533	99	51	200
1	1	16	4	2025-03-10 09:00:00.114286	1188.1035	652.1179	0.2812	0.463612	6.6105	2.3990	97	50	201
1	1	16	5	2025-03-10 09:00:00.142857	1194.2256	654.7408	0.2912	0.426268	6.1221	2.6229	99	49	199
1	1	16	6	2025-03-10 09:00:00.171429	1196.3265	655.9443	0.0000	0.361201	2.1009	1.2034	101	50	201
1	1	16	7	2025-03-10 09:00:00.200000	1203.0049	658.4774	0.0000	0.281045	6.6784	2.5331	102	51	201
1	1	16	8	2025-03-10 09:00:00.228571	1209.3118	661.1537	0.0264	0.306895	6.3069	2.6764	100	52	203
1	1	16	9	2025-03-10 09:00:00.257143	1215.6884	663.8380	0.0791	0.341886	6.3766	2.6843	102	51	202
1	1	16	10	2025-03-10 09:00:00.285714	1221.0140	666.2315	0.0000	0.324964	5.3257	2.3935	103	51	200
1	1	16	11	2025-03-10 09:00:00.314286	1229.4791	668.4145	0.2448	0.300545	8.4650	2.1831	101	52	202
1	1	16	12	2025-03-10 09:00:00.342857	1234.7100	670.5528	0.3912	0.323193	5.2310	2.1383	100	53	202
1	1	16	13	2025-03-10 09:00:00.371429	1241.4733	671.5378	0.5334	0.294316	6.7633	0.9850	98	53	205
1	1	16	14	2025-03-10 09:00:00.400000	1247.1200	673.4691	0.9403	0.335022	5.6467	1.9313	97	52	205
1	1	16	15	2025-03-10 09:00:00.428571	1251.6565	674.3448	1.0011	0.222021	4.5365	0.8757	98	51	205
1	1	16	16	2025-03-10 09:00:00.457143	1260.4230	676.5025	1.9505	0.213672	8.7665	2.1577	100	52	207
1	1	16	17	2025-03-10 09:00:00.485714	1265.0888	677.3347	2.0525	0.170185	4.6657	0.8321	102	51	209
1	1	16	18	2025-03-10 09:00:00.514286	1270.4812	678.5734	1.9518	0.163945	5.3924	1.2388	104	50	212
1	1	16	19	2025-03-10 09:00:00.542857	1278.0639	679.5360	1.7560	0.160620	7.5828	0.9625	102	51	210
1	1	16	20	2025-03-10 09:00:00.571429	1284.3671	680.7418	1.5160	0.148095	6.3031	1.2059	102	50	212
1	1	16	21	2025-03-10 09:00:00.600000	1289.6462	680.8914	1.7887	0.130719	5.2791	0.1496	102	50	211
1	1	16	22	2025-03-10 09:00:00.628571	1294.2097	681.8640	1.6616	0.236408	4.5635	0.9726	104	49	212
1	1	16	23	2025-03-10 09:00:00.657143	1300.7808	683.8708	1.2418	0.227560	6.5711	2.0068	104	49	210
1	1	16	24	2025-03-10 09:00:00.685714	1307.1638	686.4026	1.3710	0.169630	6.3830	2.5318	106	49	212
1	1	16	25	2025-03-10 09:00:00.714286	1316.9916	687.3445	1.9984	0.112186	9.8279	0.9419	108	48	211
1	1	16	26	2025-03-10 09:00:00.742857	1323.8789	688.7538	2.2128	0.105370	6.8873	1.4092	108	47	208
1	1	16	27	2025-03-10 09:00:00.771429	1326.6707	689.3900	2.2867	0.058017	2.7918	0.6362	107	48	207
1	1	16	28	2025-03-10 09:00:00.800000	1334.3001	689.4500	2.8381	0.086494	7.6293	0.0601	106	49	204
1	1	16	29	2025-03-10 09:00:00.828571	1340.9713	690.8069	2.9637	0.164355	6.6712	1.3569	106	49	207
1	1	16	30	2025-03-10 09:00:00.857143	1346.3040	692.4439	2.8240	0.178406	5.3327	1.6370	108	49	208
1	1	16	31	2025-03-10 09:00:00.885714	1351.0920	693.2915	3.0020	0.137910	4.7879	0.8476	107	49	205
1	1	16	32	2025-03-10 09:00:00.914286	1361.1261	694.6630	2.7662	0.186715	10.0341	1.3715	106	49	203
1	1	16	33	2025-03-10 09:00:00.942857	1367.0747	696.0658	2.3392	0.115324	5.9487	1.4028	105	48	206
1	1	16	34	2025-03-10 09:00:00.971429	1372.5378	695.9407	2.4138	0.155750	5.4630	-0.1251	106	48	205
1	1	16	35	2025-03-10 09:00:01.000000	1380.7476	697.9447	2.8364	0.228137	8.2099	2.0040	107	49	208
1	1	16	36	2025-03-10 09:00:01.028571	1386.6416	699.3796	3.1700	0.112849	5.8940	1.4349	107	48	205
1	1	16	37	2025-03-10 09:00:01.057143	1390.7493	700.5165	2.8571	0.228304	4.1077	1.1370	109	47	205
1	1	16	38	2025-03-10 09:00:01.085714	1396.3286	701.9815	2.3176	0.254511	5.5793	1.4649	108	47	205
1	1	16	39	2025-03-10 09:00:01.114286	1405.0616	703.8606	2.5457	0.243198	8.7330	1.8791	106	48	204
1	1	16	40	2025-03-10 09:00:01.142857	1410.4892	705.5343	2.3612	0.169134	5.4276	1.6737	107	49	206
1	1	16	41	2025-03-10 09:00:01.171429	1418.2550	706.6381	2.7200	0.158193	7.7658	1.1038	105	49	205
1	1	16	42	2025-03-10 09:00:01.200000	1427.1591	708.0466	2.2996	0.179923	8.9040	1.4085	107	49	208
1	1	16	43	2025-03-10 09:00:01.228571	1435.3515	709.9755	2.4102	0.206758	8.1924	1.9290	109	50	210
1	1	16	44	2025-03-10 09:00:01.257143	1440.9999	710.8890	2.2087	0.190548	5.6484	0.9135	108	49	207
1	1	16	45	2025-03-10 09:00:01.285714	1447.4131	712.6507	2.1142	0.274727	6.4132	1.7617	109	50	208
1	1	16	46	2025-03-10 09:00:01.314286	1455.5405	715.3041	2.0966	0.301134	8.1273	2.6535	107	50	206
1	1	16	47	2025-03-10 09:00:01.342857	1464.5651	717.5603	2.0857	0.296753	9.0247	2.2562	106	49	206
1	1	16	48	2025-03-10 09:00:01.371429	1471.1753	719.9487	1.8792	0.334152	6.6102	2.3884	107	50	209
1	1	16	49	2025-03-10 09:00:01.400000	1475.6777	722.4678	1.5486	0.410654	4.5023	2.5191	106	51	212
1	1	16	50	2025-03-10 09:00:01.428571	1481.5074	725.4527	1.5847	0.372412	5.8297	2.9848	105	51	212
1	1	16	51	2025-03-10 09:00:01.457143	1488.7896	727.6800	1.8456	0.312021	7.2823	2.2273	107	50	210
1	1	16	52	2025-03-10 09:00:01.485714	1496.1482	730.5025	1.6142	0.340696	7.3585	2.8225	108	50	207
1	1	17	53	2025-03-10 09:00:01.514286	1500.0000	733.3823	1.3905	0.363545	-6.6336	2.8798	106	51	207
1	1	17	54	2025-03-10 09:00:01.542857	1500.0000	735.4804	1.8336	0.245207	-6.3399	2.0980	108	52	209
1	1	17	55	2025-03-10 09:00:01.571429	1500.0000	736.1707	2.0411	0.185389	-3.1415	0.6904	109	52	206
1	1	17	56	2025-03-10 09:00:01.600000	1500.0000	736.4182	2.4038	0.128452	-8.0857	0.2474	111	53	203
1	1	17	57	2025-03-10 09:00:01.628571	1500.0000	736.5881	2.2965	0.033868	-7.8585	0.1699	112	52	206
1	1	17	58	2025-03-10 09:00:01.657143	1500.0000	736.9380	2.0608	0.018269	-5.9021	0.3499	113	52	209
1	1	17	59	2025-03-10 09:00:01.685714	1500.0000	737.9689	1.7696	0.093219	-7.8025	1.0309	115	51	208
1	1	17	60	2025-03-10 09:00:01.714286	1500.0000	738.5790	1.9914	0.096260	-6.8512	0.6102	113	52	206
1	1	17	61	2025-03-10 09:00:01.742857	1500.0000	740.1305	2.4713	0.103561	-6.6948	1.5515	114	53	205
1	1	17	62	2025-03-10 09:00:01.771429	1500.0000	740.1235	2.8887	0.106772	-4.1187	-0.0070	114	52	206
1	1	17	63	2025-03-10 09:00:01.800000	1500.0000	740.8549	2.2102	0.167734	-7.6684	0.7314	115	53	204
1	1	17	64	2025-03-10 09:00:01.828571	1500.0000	742.4190	2.2925	0.235756	-7.0414	1.5641	117	52	207
1	1	17	65	2025-03-10 09:00:01.857143	1500.0000	743.4313	2.5524	0.139282	-9.2959	1.0123	117	51	208
1	1	17	66	2025-03-10 09:00:01.885714	1500.0000	744.4810	2.2924	0.134493	-5.1841	1.0497	118	52	206
1	1	17	67	2025-03-10 09:00:01.914286	1500.0000	745.3294	2.2412	0.153728	-3.2951	0.8483	120	52	206
1	1	17	68	2025-03-10 09:00:01.942857	1500.0000	746.8758	2.3032	0.079248	-7.1410	1.5464	121	51	209
1	1	17	69	2025-03-10 09:00:01.971429	1500.0000	746.9896	2.3531	0.060639	-3.4663	0.1138	121	50	209
1	1	17	70	2025-03-10 09:00:02.000000	1500.0000	748.6318	2.2803	0.081718	-8.8899	1.6422	119	51	207
1	1	17	71	2025-03-10 09:00:02.028571	1500.0000	748.1706	2.3165	0.043387	-9.1414	-0.4612	120	52	209
1	1	17	72	2025-03-10 09:00:02.057143	1500.0000	748.0856	2.2248	-0.045199	-6.4934	-0.0850	122	52	209
1	1	17	73	2025-03-10 09:00:02.085714	1500.0000	748.3549	2.2167	-0.085125	-4.1002	0.2693	122	53	209
1	1	17	74	2025-03-10 09:00:02.114286	1500.0000	747.9040	2.4884	-0.090111	-7.7159	-0.4509	121	52	207
1	1	17	75	2025-03-10 09:00:02.142857	1500.0000	746.9080	2.2179	-0.047829	-5.4769	-0.9960	123	52	204
1	1	17	76	2025-03-10 09:00:02.171429	1500.0000	747.1106	2.1772	-0.027034	-4.2705	0.2025	121	51	205
1	1	17	77	2025-03-10 09:00:02.200000	1500.0000	746.3219	1.7950	-0.052148	-5.8957	-0.7886	119	50	206
1	1	17	78	2025-03-10 09:00:02.228571	1500.0000	746.8849	1.7857	-0.064367	-7.5129	0.5630	117	49	206
1	1	17	79	2025-03-10 09:00:02.257143	1500.0000	746.8919	1.6272	0.035082	-3.4118	0.0070	119	49	203
1	1	17	80	2025-03-10 09:00:02.285714	1500.0000	746.5705	1.6815	0.060171	-6.0127	-0.3214	121	49	203
